Nom français V1;Nom latin V1;Type modification;Nom français V2;Nom latin V2;Rang 1;Rang 2;Rang 3;Rang 4;Type taxon;Protocole Aspifaune;Protocole Noctambules;Protocole Escargot;Protocole vers
Les Fourmis rouges;Myrmica;modifié (correction appelation);Les Fourmis Myrmica;Myrmica;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Grandes Myrmicines rousses (Myrmicinae);;taxon terminal;1;1;0;0
Les Grandes Myrmicines noires ou brun foncé;Myrmicinae;;Les Grandes Myrmicines noires ou brun foncé;Myrmicinae;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Grandes Myrmicines noires ou brun foncé (Myrmicinae);;taxon intermédiaire;1;1;0;0
Les Aphaenogaster poilues;Aphaenogaster senilis et spinosa;;Les Aphaenogaster poilues;Aphaenogaster senilis et spinosa;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Grandes Myrmicines noires ou brun foncé (Myrmicinae);;taxon terminal;1;1;0;0
Les Fourmis moissonneuses;Messor barbarus et autres espèces;modifié (correction appelation);Les Fourmis moissonneuses;Messor;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Grandes Myrmicines noires ou brun foncé (Myrmicinae);;taxon terminal;1;1;0;0
;;ajout;Les Formicines et Dolichoderines;Formicinae, Dolichoderinae;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);;;taxon intermédiaire;1;1;0;0
Les Petites Fourmis à pétiole court;Formicinae, Dolichoderinae;;Les Petites Fourmis à pétiole court;Formicinae, Dolichoderinae;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon intermédiaire;1;1;0;0
Les Fourmies odorantes;Tapinoma;;Les Fourmies odorantes;Tapinoma;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
La Fourmi d' Argentine;Linepithema humile;;La Fourmi d' Argentine;Linepithema humile;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
Les Lasius noires à petite tête;Lasius niger et autres espèces;modifié (correction appelation);Les Lasius noires à petite tête;Lasius;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
Les Fourmis infatiguables;Plagiolepis pygmaea et autres espèces;modifié (correction appelation);Les Fourmis infatiguables;Plagiolepis;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
La Lasius fuligineuse;Lasius fuliginosus;;La Lasius fuligineuse;Lasius fuliginosus;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
Les Lasius bicolores;Lasius emarginatus et brunneus;;Les Lasius bicolores;Lasius emarginatus et brunneus;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
Les Lasius jaunes;Lasius flavus et autres espèces;modifié (correction appelation);Les Lasius jaunes;Lasius;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Petites Fourmis à pétiole court (Formicinae, Dolichoderinae);;taxon terminal;1;1;0;0
Les Grandes Formicines noires;Formicinae;;Les Grandes Formicines noires;Formicinae;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines noires (Formicinae);;taxon intermédiaire;1;1;0;0
La Camponote trompeuse;Camponotus fallax;;La Camponote trompeuse;Camponotus fallax;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines noires (Formicinae);;taxon terminal;1;1;0;0
Les Camponotes noires;Camponotus;;Les Camponotes noires;Camponotus;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines noires (Formicinae);;taxon terminal;1;1;0;0
Les Formica noires;Formica;;Les Formica noires;Formica;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines noires (Formicinae);;taxon terminal;1;1;0;0
Les Fourmis du Sahara;Cataglyphis piliscapa et cursor;;Les Fourmis du Sahara;Cataglyphis piliscapa et cursor;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines noires (Formicinae);;taxon terminal;1;1;0;0
Les Grandes Formicines colorées;Formicinae;;Les Grandes Formicines colorées;Formicinae;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon intermédiaire;1;1;0;0
La Camponote à tête rouge;Camponotus lateralis;;La Camponote à tête rouge;Camponotus lateralis;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon terminal;1;1;0;0
Les Camponotes à tâches marron orangé;Camponotus ligniperda et herculaneus;modifié (correction appelation);Les Camponotes à tâches marron orangé;Camponotus ligniperda et herculeanus;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon terminal;1;1;0;0
Les Camponotes de garrigues;Camponotus sylvaticus et pilicornis;;Les Camponotes de garrigues;Camponotus sylvaticus et pilicornis;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon terminal;1;1;0;0
La Camponote ensanglantée;Camponotus cruentatus;;La Camponote ensanglantée;Camponotus cruentatus;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon terminal;1;1;0;0
Les Formica bicolores;Formica;;Les Formica bicolores;Formica;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon terminal;1;1;0;0
La Fourmi amazone;Polyergus rufescens;;La Fourmi amazone;Polyergus rufescens;Les Fourmis (Formicidae);Les Formicines et Dolichoderines (Formicinae, Dolichoderinae);Les Grandes Formicines colorées (Formicinae);;taxon terminal;1;1;0;0
Les Termites;Termitidae et autres familles;;Les Termites;Termitidae et autres familles;;;;;taxon terminal;1;1;0;0
Les Embioptères;Embioptera;;Les Embioptères;Embioptera;;;;;taxon terminal;1;1;0;0
;;ajout;Les Diploures;Diplura;Les Diploures (Diplura);;;;taxon intermédiaire;1;1;0;0
Les Diploures Campodéides;Campodeidae;;Les Diploures Campodéides;Campodeidae;Les Diploures (Diplura);;;;taxon terminal;1;1;0;0
Les Diploures Japygides;Japygidae;;Les Diploures Japygides;Japygidae;Les Diploures (Diplura);;;;taxon terminal;1;1;0;0
Les Lépismes;Lepismatidae;;Les Lépismes;Lepismatidae;;;;;taxon terminal;1;1;0;0
Les Machilides;Machilidae;;Les Machilides;Machilidae;;;;;taxon terminal;1;1;0;0
L'Amphipode des pelouses;Arcitalitrus dorrieni;;L'Amphipode des pelouses;Arcitalitrus dorrieni;;;;;taxon terminal;1;1;0;0
Les Blattes;Ectobiidae, Blattidae, Blaberidae;;Les Blattes;Ectobiidae, Blattidae, Blaberidae;Les Blattes (Ectobiidae, Blattidae, Blaberidae);;;;taxon intermédiaire;1;1;0;0
Les Loboptères;Loboptera decipiens et canariensis;;Les Loboptères;Loboptera decipiens et canariensis;Les Blattes (Ectobiidae, Blattidae, Blaberidae);;;;taxon terminal;1;1;0;0
