"thesaurus_bdd";"Nom français V1";"Nom latin V1";"Type de modification";"Nom français V2";"Nom latin V2";"Rang 1";"Rang 2";"Rang 3";"Rang 4";"Regroupement1a";"Regroupement1b";"Regroupement2a";"Regroupement2b";"Regroupement3";"Embranchement";"Sous-embranchement";"Classe";"Sous_classe&Infra_classe";"Ordre";"SousOrdre";"Famille";"Type taxon";"Niv_deter_global";"Niv_deter_detail";"Nb_sp";"Protocole Aspifaune";"Protocole Noctambules";"Protocole Escargot";"Protocole vers";"id_thesaurus_final";"id_thesaurus_bdd"
"qubs.taxon";"L'Epeire alsine";"Araneus alsine";"";"L'Epeire alsine";"Araneus alsine";"Les Araignées (Araneae)";"Les Epeires et autres Araneidae (Araneidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"0";"293";"348"
"qubs.taxon";"Les Araignées";"Araneae";NA;"Les Araignées";"Araneae";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon intermédiaire";"Ordre";"Ordre";"";"1";"1";"0";"0";"274";"326"
"qubs.taxon";"L'Agélène à labyrinthe";"Agelena labyrinthica";"modif_appelation";"Les Agélènes labyrinthe";"Agelena labyrinthica, Allagelena graciliens";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Morphoespèce";"2 espèces : Agelena labyrinthica, Allagelena graciliens";"2";"1";"1";"0";"0";"43";"335"
"qubs.taxon";"Les Amaurobes";"Amaurobius";NA;"Les Amaurobes";"Amaurobius";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"0";"286";"341"
"qubs.taxon";"Les Araignées chasseuses Micrommata";"Micrommata";NA;"Les Araignées chasseuses Micrommata";"Micrommata";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre (2 espèces en France : Micrommata ligurina et Micrommata virescens )";"2";"1";"1";"0";"0";"275";"327"
"qubs.taxon";"Les Araignées lynx";"Oxyopes";NA;"Les Araignées lynx";"Oxyopes";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre";"";"1";"1";"0";"0";"280";"333"
"qubs.taxon";"Les Clubiones";"Clubionidae";NA;"Les Clubiones";"Clubionidae";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Famille";"Famille";"";"1";"1";"0";"0";"284";"339"
"qubs.taxon";"Les Coelotes";"Coelotinae";NA;"Les Coelotes";"Coelotinae";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Sous_famille";"sous-famille";"";"1";"1";"0";"0";"287";"342"
"qubs.taxon";"Les Dolomèdes";"Dolomedes";NA;"Les Dolomèdes";"Dolomedes";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Genre";"Genre (2 espèces en France : Dolomedes fimbriatus et Dolomedes plantarius)";"";"1";"1";"0";"0";"279";"331"
"qubs.taxon";"Les Erèses coccinelles";"Eresus kollari et sandaliatus";NA;"Les Erèses coccinelles";"Eresus kollari et sandaliatus";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Morphoespèce";"2 espèces";"";"1";"1";"0";"0";"277";"329"
"qubs.taxon";"Les Liocranides";"Liocranidae";NA;"Les Liocranides";"Liocranidae";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Famille";"famille";"";"1";"1";"0";"0";"285";"340"
